day,date,start_time,end_time,session_code,workshop_short_name,talk_title,speaker,speaker_affiliation,location,priority,tc_relevance_reason,url,workshop_tc_importance
Monday,2026-06-01,09:00,09:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",Numerical Optimal Control for Nonsmooth Systems,Christian Dietz and Moritz Diehl,University of Freiburg,TBA,important,"Diehl's group builds acados, the open-source toolkit that powers fast nonlinear MPC on real robots; if you run real-time MPC, you likely depend on his methods. This talk pushes nonlinear optimal control into nonsmooth dynamics, which is exactly what's needed to plan and control through contact.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,09:30,10:00,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",A gap penalty semismooth method for QPCC with applications to contact-implicit trajectory optimization,Toshiyuki Ohtsuka,Kyoto University,TBA,important,QPCCs (quadratic programs with complementarity constraints) are the math behind contact-implicit trajectory optimization. Ohtsuka wrote a standard textbook on nonlinear MPC and pioneered C/GMRES real-time MPC. This talk gives a new solver for the contact-mode problem that defines a lot of TC research.,https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,10:00,10:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",TBD,Justin Carpentier,INRIA Paris,TBA,important,"Carpentier maintains Pinocchio, the rigid-body dynamics and analytical-derivatives library that essentially every modern trajectory optimizer and MPC stack in robotics is built on top of. Hearing him directly is the closest thing to an authoritative update on the toolchain TC members use daily.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,11:30,12:00,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",Beyond Discrete-Time MPC: Nonlinear Lifting and Intersample Optimization in Robotics,Kaoru Yamamoto (remote),Kyushu University,TBA,noteworthy,"Standard MPC discretizes time and ignores what happens between sample points, which matters more and more as robots get faster. This talk addresses that gap with continuous-time / intersample formulations — relevant niche for anyone whose controller runs at a different rate than their planner.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,12:00,12:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",Non-smooth control for MuJoCo physics,Emo Todorov,University of Washington,TBA,spotlight,"Todorov is the original author of MuJoCo and a foundational figure on iLQR/iLQG who rarely gives public talks anymore. Hearing the creator of the simulator most TC researchers run their planners and controllers against, presenting his own non-smooth control work inside that simulator, is essentially impossible to get anywhere else.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,13:30,14:00,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",TBD,Farbod Farshidian,Robotics and AI Institute,TBA,important,"Farshidian leads OCS2, one of the two or three real-time whole-body MPC stacks in widespread use for legged robots (notably ANYmal). For TC members deploying optimization-based controllers on hardware, his work is the practical state of the art.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,14:00,14:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",TBD,Melanie Zeilinger,ETH Zurich,TBA,important,Zeilinger's group works on learning-based and safe MPC: how to give optimization-based controllers the data efficiency of learning while keeping constraint and stability guarantees. Sits at the intersection of two TC priorities (safety and learning-augmented control).,https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,16:00,16:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",Graphs of Convex Sets: A New Framework for Efficient Discrete-Continuous Optimization,Tobia Marcucci,University of California Santa Barbara,TBA,spotlight,Graphs of Convex Sets (GCS) is the most influential new motion-planning formulation of the last few years — it lets you solve mixed discrete-continuous problems (like choosing a homotopy class AND a smooth trajectory) as a single convex program. Hearing the originator explain it at the exact moment the field is adopting it is genuinely time-sensitive.,https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,16:30,17:00,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",Scaling Semidefinite Relaxations for Robot Perception and Control,Heng Yang,Harvard University,TBA,noteworthy,SDP relaxations give certifiable global optima for nonconvex problems but have historically been too slow for robotics. This talk explicitly pushes the framework from perception into control — useful for TC members curious about global-optimality guarantees in trajectory or pose optimization.,https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
Monday,2026-06-01,17:00,17:30,MoTT1,"Workshop on Frontiers of Optimization for Robotics, 2nd Edition",TBD,Evangelos Theodorou,Georgia Tech,TBA,important,"Theodorou developed MPPI (model predictive path integral control), one of the standard sampling-based MPC methods — widely used for aggressive driving, aerial robots, and humanoid control. His talks usually preview the next generation of stochastic / sampling-based optimal control.",https://sites.google.com/robotics.utias.utoronto.ca/icra26-frontiers-optimization/home,"This workshop is centered on numerical optimization methods for robotics — trajectory optimization, differentiable physics, learning-augmented optimal control, and global solvers. Every theme is direct TC scope: these are the underlying methods behind modern motion planning, MPC, and contact-aware control. The speakers and tooling that come up here are the same ones the TC's planning and control work builds on."
