day,session,session_type,hall,paper_id,time_slot,title,authors,affiliations,icra_keywords,matched_tc_keywords,matched_abstract_phrases,abstract
Tuesday,TuAT1,Award Session,Hall A2,TuAT1.5,11:40-11:50,RCM Constraint-Consistent Dynamic Control in Surgical Robots,"Li, Yu; Sadeghian, Hamid; Yang, Zewen; Le Mesle, Valentin; Haddadin, Sami",Technical University of Munich; Technical University of Munich; Technical University of Munich; Technical University of Munich; Mohamed Bin Zayed University of Artificial Intelligence,Medical Robots and Systems; Redundant Robots; Compliance and Impedance Control,Compliance and Impedance Control,,"Robotic-assisted minimally invasive surgery (RAMIS) requires accurate enforcement of the remote center of motion (RCM) constraint to ensure safe tool motion through a trocar. Existing virtual RCM controllers are commonly formulated either at the kinematic level or as task-space objectives, which makes torque-level enforcement under trocar motion and physical interaction difficult to formulate consistently. This paper models the RCM as a rheonomic holonomic constraint and incorporates it into a projection-based inverse-dynamics controller with explicit constrained/free-motion torque decomposition. The resulting formulation unifies kinematic RCM enforcement and task-space tracking at the torque level, while preserving a constraint-consistent structure for residual regulation and null-space compliance. The proposed controller is validated in simulation and on a RAMIS training platform against representative projection-based and constrained-dynamics baselines. Across spiral tracking, varying insertion depth, moving trocar conditions, and human interaction, the method achieves lower RCM residuals and smoother torque profiles while maintaining accurate tool-tip tracking. These results support the use of constraint-consistent torque control for reliable virtual RCM enforcement in surgical robotics. The project page is available at https://rcmpc-cube.github.io."
Tuesday,TuAT2,Regular Session,Hall A3,TuAT2.6,11:50-12:00,A Coverage Motion Planning Approach for UVMS-Based Propeller Cleaning in Obstacle-Occluded Environments,"Kopo, Raksi; Tarantos, Spyridon; Panetsos, Fotis; Kyriakopoulos, Kostas",New York University Abu Dhabi; New York University Abu Dhabi; New York University Abu Dhabi; New York University - Abu Dhabi,Marine Robotics; Motion and Path Planning; Constrained Motion Planning,Motion and Path Planning; Constrained Motion Planning,,"This work addresses the problem of underwater propeller cleaning in environments containing obstacles using an Underwater Vehicle Manipulator System (UVMS). Prior propeller-cleaning approaches plan coverage tool paths without explicitly considering the connectivity of the associated Surface-Constrained Configuration Space (SCCS), leading to unnecessary lift-offs in obstacle-occluded settings. In contrast, we formulate the coverage problem in the disconnected SCCS as a Generalized Traveling Salesman Problem (GTSP) within a hierarchical framework, accounting for obstacles and attempting to minimize the number of tool lift-offs. We consider explicitly the tool lift-off paths in the GTSP cost formulation, utilizing the hierarchical framework to guide the search without exhaustively evaluating all possible paths. To achieve smoother tool paths with fewer turns, we introduce a cost that promotes alignment with desired coverage curves. Finally, we time-parameterize the coverage path into a whole-body UVMS trajectory by minimizing the duration of the cleaning task, while respecting the robot hardware limitations. The effectiveness of the proposed method is demonstrated in a realistic simulation scenario."
Tuesday,TuAT3,Regular Session,Lehar 1-4,TuAT3.2,11:10-11:20,DAM-VLA: A Dynamic Action Model-Based Vision-Language-Action Framework for Robot Manipulation,"Peng, Xiongfeng; Yu, Jiaqian; Li, Dingzhe; Jin, Yixiang; Xu, Lu; Yamin, Mao; Zhang, Chao; Li, Weiming; Jang, Sujin; Lee, Dongwook; Ji, Daehyun","Samsung R&D Institute China-Beijing; Samsung RnD Institute China - Beijing; Beihang University; Samsung Research China  Beijing (SRC-B); Samsung; Samsung; Samsung Advanced Institute of Technology; Samsung Advanced Institute of Technology (SAIT); AI Center, Samsung Electronics Co. LTD; AI Center, Samsung Electronics Co. LTD; Samsung Advanced Institute of Technology",Deep Learning in Grasping and Manipulation; Manipulation Planning; Grasping,Manipulation Planning,,"In dynamic environments such as warehouses, hospitals, and homes, robots must seamlessly transition between gross motion and precise manipulations to complete complex tasks. However, current Vision-Language-Action (VLA) frameworks, largely adapted from pre-trained Vision-Language Models (VLMs), often struggle to reconcile general task adaptability with the specialized precision required for intricate manipulation. To address this challenge, we propose DAM-VLA, a dynamic action model-based VLA framework. DAM-VLA integrates VLM reasoning with diffusion-based action models specialized for arm and gripper control. Specifically, it introduces (i) an action routing mechanism, using task-specific visual and linguistic cues to select appropriate action models (e.g., arm movement or gripper manipulation), (ii) a dynamic action model that fuses high-level VLM cognition with low-level visual features to predict actions, and (iii) a dual-scale action weighting mechanism that enables dynamic coordination between the arm-movement and gripper-manipulation models. Across extensive evaluations, DAM-VLA achieves superior success rates compared to state-of-the-art VLA methods in simulated (SIMPLER, FurnitureBench) and real-world settings, showing robust generalization from standard pick-and-place to demanding long-horizon and contact-rich tasks."
Tuesday,TuAT3,Regular Session,Lehar 1-4,TuAT3.3,11:20-11:30,Dynamic Robotic Cloth Folding with Efficient Koopman Operator-Based Model Predictive Control,"Caldarelli, Edoardo; Coltraro, Franco; Colomé, Adrià; Rosasco, Lorenzo; Torras, Carme",Istituto Italiano di Tecnologia; Institut de Robòtica i Informàtica industrial (UPC-CSIC); Institut de Robòtica i Informàtica Industrial (CSIC-UPC); Istituto Italiano di Tecnologia & MassachusettsInstitute ofTechnology; CSIC - UPC,Optimization and Optimal Control; Model Learning for Control; Machine Learning for Robot Control,Optimization and Optimal Control,,
Tuesday,TuAT3,Regular Session,Lehar 1-4,TuAT3.4,11:30-11:40,DYMO-Hair: Generalizable Volumetric Dynamics Modeling for Robot Hair Manipulation,"Zhao, Chengyang; Yoo, Uksang; Chaudhury, Arkadeep Narayan; Nam, Giljoo; Francis, Jonathan; Ichnowski, Jeffrey; Oh, Jean",Carnegie Mellon University; Carnegie Mellon University; Carnegie Mellon University; Meta; Bosch Center for Artificial Intelligence; Carnegie Mellon University; Carnegie Mellon University,Deep Learning in Grasping and Manipulation; Representation Learning; Manipulation Planning,Manipulation Planning,,"Hair care is an essential daily activity, yet it remains inaccessible to individuals with limited mobility and challenging for autonomous robot systems due to the fine-grained physical structure and complex dynamics of hair. In this work, we present DYMO-Hair, a model-based robot hair care system. We introduce a novel dynamics learning paradigm that is suited for volumetric quantities such as hair, relying on an action-conditioned latent state editing mechanism, coupled with a compact 3D latent space of diverse hairstyles to improve generalizability. This latent space is pre-trained at scale using a novel hair physics simulator, enabling generalization across previously unseen hairstyles. Using the dynamics model with a Model Predictive Path Integral (MPPI) planner, DYMO-Hair is able to perform visual goal-conditioned hair styling. Experiments in simulation demonstrate that DYMO-Hair's dynamics model outperforms baselines on capturing local deformation for diverse, unseen hairstyles. DYMO-Hair further outperforms baselines in closed-loop hair styling tasks on unseen hairstyles, with an average of 22% lower final geometric error and 42% higher success rate than the state-of-the-art system. Real-world experiments exhibit zero-shot transferability of our system to wigs, achieving consistent success on challenging unseen hairstyles where the state-of-the-art system fails. Together, these results introduce a foundation for model-based robot hair care, advancing toward more generalizable, flexible, and accessible robot hair styling in unconstrained physical environments."
Tuesday,TuAT3,Regular Session,Lehar 1-4,TuAT3.5,11:40-11:50,SceneComplete: Open-World 3D Scene Completion in Cluttered Real World Environments for Robot Manipulation,"Agarwal, Aditya; Singh, Gaurav; Sen, Bipasha; Lozano-Perez, Tomas; Kaelbling, Leslie",Massachusetts Institute of Technology; Brown University; Massachusetts Institute of Technology; MIT; MIT,Perception for Grasping and Manipulation; RGB-D Perception; Manipulation Planning,Manipulation Planning,,"Careful robot manipulation in every-day cluttered environments requires an accurate understanding of the 3D scene, in order to grasp and place objects stably and reliably and to avoid colliding with other objects. In general, we must construct such a 3D interpretation of a complex scene based on limited input, such as a single RGB-D image. We describe SceneComplete, a system for constructing a complete, segmented, 3D model of a scene from a single view. SceneComplete is a novel pipeline for composing general purpose pretrained perception modules (vision-language, segmentation, image-inpainting, image-to-3D, visual-descriptors and pose-estimation) to obtain highly accurate results. We demonstrate its accuracy and effectiveness with respect to ground-truth models in a large benchmark dataset and show that its accurate whole-object reconstruction enables robust grasp proposal generation, including for a dexterous hand. We release the code and additional results on our website - https://scenecomplete.github.io/."
Tuesday,TuBT1,Award Session,Hall A2,TuBT1.4,17:15-17:25,IMR-LLM: Industrial Multi-Robot Task Planning and Program Generation Using Large Language Models,"Su, Xiangyu; Xu, Juzhan; van Kaick, Oliver; Xu, Kai; Hu, Ruizhen","Shenzhen University; Shenzhen University; Carleton University; Institute of AI for Industries, Chinese Academy of Sciences; Shenzhen University",Industrial Robots; Task and Motion Planning; Multi-Robot Systems,Task and Motion Planning,,"In modern industrial production, multiple robots often collaborate to complete complex manufacturing tasks. Large language models (LLMs), with their strong reasoning capabilities, have shown potential in coordinating robots for simple household and manipulation tasks. However, in industrial scenarios, stricter sequential constraints and more complex dependencies within tasks present new challenges for LLMs. To address this, we propose IMR-LLM, a novel LLM-driven Industrial Multi-Robot task planning and program generation framework. Specifically, we utilize LLMs to assist in constructing disjunctive graphs and employ deterministic solving methods to obtain a feasible and efficient high-level task plan. Based on this, we use a process tree to guide LLMs to generate executable low-level programs. Additionally, we create IMR-Bench, a challenging benchmark that encompasses multi-robot industrial tasks across three levels of complexity. Experimental results indicate that our method significantly surpasses existing methods across all evaluation metrics."
Tuesday,TuBT1,Award Session,Hall A2,TuBT1.6,17:35-17:45,Ro-To-Go! Robust Reactive Control with Signal Temporal Logic,"Ilyes, Roland; Brudermüller, Lara; Hawes, Nick; Lacerda, Bruno",University of Oxford; University of Oxford; University of Oxford; University of Oxford,Formal Methods in Robotics and Automation; Hybrid Logical/Dynamical Planning and Verification; Optimization and Optimal Control,Formal Methods in Robotics and Automation; Hybrid Logical/Dynamical Planning and Verification; Optimization and Optimal Control,,"Signal Temporal Logic robustness is a common objective for optimal robot control, but its dependence on history limits the robot's decision-making capabilities when used in model predictive control approaches. In this work, we introduce Signal Temporal Logic robustness-to-go, a new quantitative semantics for the logic that isolates the contributions of suffix trajectories. We prove its relationship to formula progression for Metric Temporal Logic, and show that the robustness-to-go depends only on the suffix trajectory and progressed formula. We implement robustness-to-go as the objective in a model predictive control algorithm and use formula progression to efficiently evaluate it online. We test the algorithm in simulation and compare it to model predictive control using other robustness measures. Our experiments show that using robustness-to-go improves performance compared to using traditional robustness."
Tuesday,TuBT1,Award Session,Hall A2,TuBT1.7,17:45-17:55,LASER: Level-Based Asynchronous Scheduling and Execution Regime for Spatiotemporally Constrained Multi-Robot Timber Manufacturing,"Huang, Zhenxiang; Skoury, Lior; Stark, Tim; Wagner, Aaron; Wagner, Hans-Jakob; Wortmann, Thomas; Menges, Achim",University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart; University of Stuttgart,"Intelligent and Flexible Manufacturing; Planning, Scheduling and Coordination; Multi-Robot Systems","Planning, Scheduling and Coordination",,"Automating large-scale manufacturing in domains like timber construction requires multi-robot systems to manage tightly coupled spatiotemporal constraints, such as collision avoidance and process-driven deadlines. This paper introduces LASER (Level-based Asynchronous Scheduling and Execution Regime), a complete framework for scheduling and executing complex assembly tasks, demonstrated on a screw-press gluing application for timber slab manufacturing. Our central contribution is to integrate a barrier-based mechanism into a constraint programming (CP) scheduling formulation that partitions tasks into spatiotemporally disjoint sets, which we define as levels. This structure enables robots to execute tasks in parallel and asynchronously within a level, synchronizing only at level barriers, which guarantees collision-free operation by construction and provides robustness to timing uncertainties. To solve this formulation for large problems, we propose two specialized algorithms: an iterative temporal-relaxation approach for heterogeneous task sequences and a bi-level decomposition for homogeneous tasks that balances workload. We validate the LASER framework by fabricating a full-scale 2.4m x 6m timber slab with a two-robot system mounted on parallel linear tracks, successfully coordinating 108 subroutines and 352 screws under tight adhesive time windows. Computational studies show our method scales steadily with size compared to a monolithic approach."
Tuesday,TuBT2,Regular Session,Hall A3,TuBT2.1,16:45-16:55,Closed-Loop Trajectory Optimization of Deformable Linear Objects for Dynamic Motions,"Klankers, Marc Kilian; Steil, Jochen J.",Technische Universität Braunschweig; Technische Universität Braunschweig,Model Learning for Control; Machine Learning for Robot Control; Motion Control,Motion Control,,"Tracking dynamic endpoint trajectories of deformable linear objects (DLOs) with a robotic manipulator remains challenging due to their complex non-linear behavior. While closed-loop Model Predictive Control (MPC) can account for these non-linearities, it requires an accurate dynamic model and precise state estimation. This paper introduces a closed-loop approach for controlling a DLO's endpoint to track dynamic 2D shapes. We model the DLO as a floating-base kinematic chain and present a new perspective on learning its dynamics using a data-driven approximation of its hybrid dynamics. Based on this model, we formulate an Optimal Control Problem (OCP), which we solve within the control loop using both linear MPC and DDP. We validate our approach with simulation and hardware experiments, demonstrating its ability to track dynamic endpoint motions."
